category_id,category_name,item_name,description,price,type,popular
beverages_hot,Hot Beverages,Green Tea,,20,veg,
beverages_hot,Hot Beverages,Special Tea,,25,veg,
beverages_hot,Hot Beverages,Lemon Tea,,15,veg,
beverages_hot,Hot Beverages,Hot Coffee,,40,veg,
beverages_cold,Cold Beverages,Virgin Mojito,,80,veg,
beverages_cold,Cold Beverages,Buttermilk,,15,veg,
beverages_cold,Cold Beverages,Lassi,,40,veg,
beverages_cold,Cold Beverages,Lemonade,,30,veg,
beverages_cold,Cold Beverages,Cold Coffee,,80,veg,
salads,Salads,Green Salad,,50,veg,
salads,Salads,Tomato Salad,,40,veg,
salads,Salads,Raitha Salad,,50,veg,
salads,Salads,Onion Salad,,30,veg,
salads,Salads,Fruit Salad,,120,veg,
soups_veg,Veg Soups,Cream of Tomato Soup,,100,veg,
soups_veg,Veg Soups,Veg Clear Soup,,90,veg,
soups_veg,Veg Soups,Veg Manchow Soup,,90,veg,
soups_veg,Veg Soups,Sweet Corn Soup,,105,veg,
soups_non_veg,Non-Veg Soups,Chicken Clear Soup,,120,non-veg,
soups_non_veg,Non-Veg Soups,Chicken Manchow Soup,,120,non-veg,
papad,Papad,Masala Papad,,20,veg,
papad,Papad,Fry Masala Papad,,20,veg,
papad,Papad,Roasted Masala Papad,,20,veg,
papad,Papad,Plain Fried Papad,,15,veg,
papad,Papad,Plain Roasted Papad,,15,veg,
veg_sandwich,Veg Sandwiches,Veg Sandwich,,70,veg,
veg_sandwich,Veg Sandwiches,Veg Club Sandwich,,120,veg,
veg_sandwich,Veg Sandwiches,Veg Grilled Sandwich,,80,veg,
veg_sandwich,Veg Sandwiches,Veg Cheese Grilled Sandwich,,,veg,
non_veg_sandwich,Non-Veg Sandwiches,Chicken Sandwich,,100,non-veg,
non_veg_sandwich,Non-Veg Sandwiches,Chicken Club Sandwich,,120,non-veg,
non_veg_sandwich,Non-Veg Sandwiches,Chicken Grilled Sandwich,,140,non-veg,
non_veg_sandwich,Non-Veg Sandwiches,Chicken Cheese Grilled Sandwich,,130,non-veg,
fried_snacks,Fried Snacks,Chana Lehsun Fry,,220,veg,
fried_snacks,Fried Snacks,Oats,,180,veg,
fried_snacks,Fried Snacks,Masala Oats,,200,veg,
fried_snacks,Fried Snacks,Peanut Chat,,280,veg,
fried_snacks,Fried Snacks,Peanut Fry,,220,veg,
fritters,Fritters,Onion Pakora,,80,veg,
fritters,Fritters,Paneer Pakora,,180,veg,
fritters,Fritters,Chicken Pakora,,240,non-veg,
fritters,Fritters,French Fries,,120,veg,
fritters,Fritters,Aloo Tikkies,,100,veg,
fritters,Fritters,Crispy Corn,,180,veg,
fritters,Fritters,Ring Onion,,80,veg,
fritters,Fritters,Mirchi Pakora,,60,veg,
fritters,Fritters,Fish Pakora,,280,non-veg,
veg_starter_tikka,Veg Starter – Tikka,Paneer Tikka,,260,veg,TRUE
veg_starter_tikka,Veg Starter – Tikka,Paneer Pahadi Tikka,,230,veg,
veg_starter_tikka,Veg Starter – Tikka,Paneer Schezwan Tikka,,220,veg,
veg_starter_tikka,Veg Starter – Tikka,Paneer Reshmi Tikka,,220,veg,
veg_starter_tikka,Veg Starter – Tikka,Paneer Malai Tikka,,280,veg,
veg_starter_tikka,Veg Starter – Tikka,Mushroom Tikka,,240,veg,
veg_starter_fried,Veg Starter – Fried,Hara Bhara Kabab,,200,veg,
veg_starter_fried,Veg Starter – Fried,Veg Mayonnaise Kabab,,210,veg,
veg_starter_fried,Veg Starter – Fried,Veg Pahadi Kabab,,170,veg,
veg_starter_fried,Veg Starter – Fried,Veg Spring Roll (Paneer Stuffing),,180,veg,
veg_starter_fried,Veg Starter – Fried,Veg Spring Roll (Noodles Stuffing),,150,veg,
veg_starter_fried,Veg Starter – Fried,Paneer Finger,,230,veg,
veg_starter_fried,Veg Starter – Fried,Veg Cutlets,,170,veg,
veg_starter_fried,Veg Starter – Fried,Hara Bhara Kabab Paneer,,260,veg,
veg_starter_fried,Veg Starter – Fried,Paneer Kandi,,280,veg,
veg_starter_fried,Veg Starter – Fried,Paneer Sizzler,,470,veg,
